Model Name (ID's which detail page to populate),Date,Announced/Updated,Update,"Link (""Learn More"")",Unique ID
Accountable Health Communities Model,1/8/2018,,Health-Related Social Needs Screening Tool posted,https://innovation.cms.gov/initiatives/ahcm/,654
BPCI Advanced,1/9/2018,,Voluntary episode payment model that will qualify as an Advanced Alternative Payment Model (APM) under the Quality Payment Program to test a new iteration of bundled payments,https://innovation.cms.gov/initiatives/bpci-advanced/,655
State Innovation Models Initiative: Model Test Awards Round Two,1/10/2018,,First annual report posted,https://innovation.cms.gov/initiatives/State-Innovations-Model-Testing-Round-Two/,656
BPCI Advanced,1/11/2018,,Frequently Asked Questions (FAQ) document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,657
BPCI Advanced,1/12/2018,,Episode definitions documents for model year one posted,https://innovation.cms.gov/initiatives/bpci-advanced/,658
BPCI Advanced,1/18/2018,,"Clinical episodes exclusion list, bundled payment models comparison table posted",https://innovation.cms.gov/initiatives/bpci-advanced/,659
Next Generation ACO Model,1/18/2018,,2018 model participants,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,660
Comprehensive Primary Care Plus,1/23/2018,,165 new primary care practices participating in 2018,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,661
 ,1/25/2018,,Final evaluation report of the Diffusion and Impact of the Chronic Care Management (CCM) Services posted,https://innovation.cms.gov/Data-and-Reports/index.html,662
Oncology Care Model,2/1/2018,,Basline period first annual report and appendices posted,https://innovation.cms.gov/initiatives/Oncology-Care/,663
Health Care Innovation Awards,2/1/2018,,Third annual meta-analysis evaluation report posted,https://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/,664
 ,2/2/2018,,Final evaluation report about systematic review of primary care initiatives posted,https://innovation.cms.gov/Files/reports/primarycare-finalevalrpt.pdf,665
Beneficiary Engagement and Incentives: Direct Decision Support (DDS) Model,2/2/2018,,Model cancelled, ,666
Beneficiary Engagement and Incentives Models: General Information,2/2/2018,,Direct Decision Support (DDS) Model cancelled, ,667
Medicare Prior Authorization Model for Repetitive Scheduled Non-Emergent Ambulance Transport (RSNAT),2/5/2018,,First interim evaluation report  and appendices posted,https://innovation.cms.gov/Data-and-Reports/index.html,668
BPCI Advanced,2/9/2018,,Target price specifications for model years 1 and 2 posted,https://innovation.cms.gov/initiatives/bpci-advanced/,669
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents: Phase Two,2/16/2018,,First annual report and appendices posted,https://innovation.cms.gov/initiatives/rahnfr-phase-two/,670
Medicare Diabetes Prevention Program (MDPP) Expanded Model,2/16/2018,,List of organizations with interim preliminary recognition posted,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,671
BPCI Advanced,2/21/2018,,Materials from 02/15/18 model overview open door forum posted,https://innovation.cms.gov/resources/bpci-advanced-qaodf.html,672
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,2/21/2018,,Fourth annual reports posted,https://innovation.cms.gov/initiatives/Strong-Start-Strategy-2/,673
Medicare Diabetes Prevention Program (MDPP) Expanded Model,2/22/2018,,List of organizations with interim preliminary recognition,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,674
 ,2/22/2018,,Community-based wellness and prevention programs final evaluation report posted,https://downloads.cms.gov/files/cmmi/community-basedwellnessandprevention-finalreport.pdf,675
Comprehensive Care for Joint Replacement Model,2/22/2018,,2018 quarter 2 SNF list posted,https://innovation.cms.gov/initiatives/cjr,676
BPCI Advanced,2/26/2018,,First video vignette about patient experience posted,https://innovation.cms.gov/initiatives/bpci-advanced/,677
BPCI Advanced,2/26/2018,,Frequently Asked Questions (FAQ) document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,678
BPCI Advanced,3/6/2018,,MS-DRG Exclusions from Clinical Episodes list posted,https://innovation.cms.gov/initiatives/bpci-advanced/,679
Medicare Diabetes Prevention Program (MDPP) Expanded Model,3/7/2018,,Guidance for Medicare Advantage Plans CY 2018 document posted,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,680
Comprehensive Care for Joint Replacement Model,3/8/2018,,Frequently Asked Questions document posted,https://innovation.cms.gov/initiatives/cjr,681
Oncology Care Model,3/13/2018,,Vendor Pledge Contact List and Novel Therapies Drug List posted,https://innovation.cms.gov/initiatives/Oncology-Care/,682
Oncology Care Model,3/16/2018,,"Public forum for stakeholder feedback scheduled for May 3, 2018",https://innovation.cms.gov/resources/ocm-pubforum.html,683
Medicaid Innovation Accelerator Program,3/16/2018,,Interim evaluation report posted,https://innovation.cms.gov/initiatives/MIAP/,684
BPCI Advanced,3/26/2018,,Episode creation specifications documents for Model years 1 and 2 posted,https://innovation.cms.gov/initiatives/bpci-advanced/,685
State Innovation Models Initiative: Model Test Awards Round One,3/28/2018,,Fourth annual report posted,https://innovation.cms.gov/initiatives/State-Innovations-Model-Testing/index.html,686
BPCI Advanced,3/30/2018,,Frequently Asked Questions (FAQ) document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,687
Medicare Diabetes Prevention Program (MDPP) Expanded Model,3/30/2018,,Enrollment process timeline and supplier requirements checklist posted,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,688
Maryland All-Payer Model,3/30/2018,,Third annual report posted,https://innovation.cms.gov/initiatives/Maryland-All-Payer-Model/,689
Direct Provider Contracting Models - Request for Information,4/23/2018,,Seeking input on direct provider contracting allowing providers to take accountability for the cost and quality of a designated population,https://innovation.cms.gov/initiatives/direct-provider-contracting/,692
Comprehensive Primary Care Plus,4/26/2018,,Payment Methodology Paper posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,693
BPCI Advanced,4/30/2018,,Roadmap document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,695
Oncology Care Model,5/1/2018,,Agenda for May 3 public forum for stakeholder feedback posted,https://innovation.cms.gov/resources/ocm-pubforum.html,696
Independence at Home Demonstration,5/1/2018,,Shared savings and regression methodologies reports posted,https://innovation.cms.gov/initiatives/Independence-at-Home/,697
Medicare Diabetes Prevention Program (MDPP) Expanded Model,5/10/2018,,"Medicare Advantage focused fact sheet, updated FAQs for suppliers posted",https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,698
Comprehensive Primary Care Initiative,5/23/2018,,Fourth evaluation report posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-initiative/,699
BPCI Advanced,5/25/2018,,Materials from May 17 Pricing Methodology Technical Review webinar posted,https://innovation.cms.gov/initiatives/bpci-advanced/,700
Medicare Diabetes Prevention Program (MDPP) Expanded Model,5/30/2018,,Supplier enrollment conference call on June 20,https://innovation.cms.gov/resources/dpp-supplierenrollment.html,701
Maryland Total Cost of Care Model,6/8/2018,,First CMS Innovation Center model to hold a state fully at risk for the total cost of care for Medicare beneficiaries,https://innovation.cms.gov/initiatives/md-tccm/,703
Physician-Focused Payment Models (PFPMs): Secretary's Response to Proposals,6/14/2018,,HHS Secretary response to proposals posted,https://innovation.cms.gov/initiatives/pfpms/,704
Medicare Diabetes Prevention Program (MDPP) Expanded Model,6/15/2018,,Interactive national approved supplier map to aid participant registration efforts,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,705
BPCI Advanced,6/15/2018,,Pricing methodology open door forum scheduled for June 28,https://innovation.cms.gov/resources/bpci-advanced-odf-pricingmethodology.html,706
BPCI Advanced,6/15/2018,,Reconciliation specification for Model Years 1-2 posted,https://innovation.cms.gov/initiatives/bpci-advanced/,707
Maryland Total Cost of Care Model,6/19/2018,,Introduction to Care Transformation Organizations slides posted,https://innovation.cms.gov/initiatives/md-tccm/,708
Medicare Advantage Value-Based Insurance Design Model,6/20/2018,,Communication guidance document for year three participants posted,https://innovation.cms.gov/initiatives/vbid/#main_content,709
Maryland All-Payer Model,6/21/2018,,Frequently asked questions document for Care Redesign Program,https://innovation.cms.gov/initiatives/Maryland-All-Payer-Model/,710
BPCI Model 4: Prospective Acute Care Hospital Stay Only,6/22/2018,,Fourth evaluation report and appendices for Models 2-4 posted,https://innovation.cms.gov/initiatives/BPCI-Model-4/,712
BPCI Model 3: Retrospective Post Acute Care Only,6/22/2018,,Fourth evaluation report and appendices for Models 2-4 posted,https://innovation.cms.gov/initiatives/BPCI-Model-3/,713
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,6/22/2018,,Fourth evaluation report and appendices for Models 2-4 posted,https://innovation.cms.gov/initiatives/BPCI-Model-2/,714
Health Care Innovation Awards Round Two,6/22/2018,,Third annual report posted,https://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/Round-2.html,715
State Innovation Models Initiative: Model Test Awards Round Two,6/22/2018,,Second annual report posted,https://innovation.cms.gov/initiatives/State-Innovations-Model-Testing-Round-Two/,716
BPCI Advanced,6/26/2018,,Quality measures correlation to Model years 1 and 2 document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,717
 ,7/2/2018,,Medicare Prior Authorization Model for Non-Emergent Hyperbaric Oxygen (HBO) interim evaluation report posted,https://innovation.cms.gov/Data-and-Reports/index.html,718
Artificial Intelligence (AI) Health Outcomes Challenge,6/12/2019,,"Public announcement revised to reflect updates regarding participation, prizes, judging and dates posted",https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,721
Primary Care First Model Options,6/19/2019,,"Registration open for June 27, 2019 payment webinar",https://innovation.cms.gov/resources/pcf-payment-webinar.html,722
Primary Care First Model Options,6/20/2019,,"Registration open for July 10, 2019 seriously ill population webinar",https://innovation.cms.gov/resources/pcf-seriously-ill-population-webinar.html,723
BPCI Advanced,6/21/2019,,Multiple new and updated frequently asked questions (FAQ) documents posted,https://innovation.cms.gov/initiatives/bpci-advanced/,724
Comprehensive Care for Joint Replacement Model,6/27/2019,,Second annual evaluation report and associated materials posted,https://innovation.cms.gov/initiatives/cjr,726
ESRD Treatment Choices (ETC) Model,7/10/2019,,Proposed required model aims to encourage greater use of home dialysis and kidney transplants for Medicare beneficiaries with end-stage renal disease (ESRD),https://innovation.cms.gov/initiatives/esrd-treatment-choices-model/,727
Voluntary Kidney Models,7/10/2019,,Voluntary models designed to help reduce cost and improve quality for patients with late-stage kidney disease and end-stage renal disease (ESRD),https://innovation.cms.gov/initiatives/voluntary-kidney-models/,728
Radiation Oncology Model,7/10/2019,,Proposed required model aims to improve quality of care for cancer patient receiving radiotherapy treatment and reduce provider burden through a predictable payment system,https://innovation.cms.gov/initiatives/radiation-oncology-model/,729
Medicare Advantage Value-Based Insurance Design Model,7/15/2019,,CY2020 marketing & communications guidelines posted,https://innovation.cms.gov/initiatives/vbid/,730
Primary Care First Model Options,7/29/2019,,"Registration is open for payment office hours webinar scheduled for August 6, 2019",https://innovation.cms.gov/resources/pcf-payment-officehours.html,731
"Emergency Triage, Treat, and Transport (ET3) Model",7/29/2019,,"Registration is open for model application tutorial webinar scheduled for August 8, 2019",https://innovation.cms.gov/resources/et3-model-app-tutorial.html,732
Artificial Intelligence (AI) Health Outcomes Challenge,8/1/2019,,Stage 1 participants announcement rescheduled to October 2019,https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,733
Direct Contracting Model Options,8/2/2019,,"LOI submission deadline extended to 11:59 pm EDT Monday, August 5, 2019",https://innovation.cms.gov/initiatives/direct-contracting-model-options/,735
Accountable Health Communities Model,8/5/2019,,Case study about promising navigation practices posted,https://innovation.cms.gov/initiatives/ahcm/,736
Voluntary Kidney Models,8/7/2019,,"Voluntary Kidney Models overview webinar scheduled for August 15, 2019",https://innovation.cms.gov/resources/voluntary-kidney-models-overview.html,737
"Emergency Triage, Treat, and Transport (ET3) Model",8/5/2019,,Request for Applications period open,https://innovation.cms.gov/resources/et3-model-app-tutorial.html,738
Primary Care First Model Options,8/19/2019,,July 24 seriously-ill population webinar materials posted,https://innovation.cms.gov/resources/pcf-seriously-ill-population-webinar.html,739
Primary Care First Model Options,8/19/2019,,June 27 payment webinar materials posted,https://innovation.cms.gov/resources/pcf-payment-webinar.html,740
"Emergency Triage, Treat, and Transport (ET3) Model",10/5/2019,,Request for Applications period closed,https://innovation.cms.gov/resources/et3-model-app-tutorial.html,741
Voluntary Kidney Models,8/21/2019,,August 15 voluntary kidney models overview webinar slides posted,https://innovation.cms.gov/resources/voluntary-kidney-models-overview.html,742
Graduate Nurse Education Demonstration,8/28/2019,,Final evaluation report and associated materials posted,https://innovation.cms.gov/initiatives/GNE/,743
Rural Community Hospital Demonstration,10/17/2018,,Report to Congress posted,https://innovation.cms.gov/initiatives/Rural-Community-Hospital/,744
Oncology Care Model,10/18/2018,,Vendor pledge contact list,https://innovation.cms.gov/initiatives/Oncology-Care/,745
Maternal Opioid Misuse (MOM) Model,10/23/2018,,State-based transformation model to better coordinate care for pregnant and postpartum Medicaid beneficiaries and children with opioid use disorder,https://innovation.cms.gov/initiatives/maternal-opioid-misuse-model/,746
Medicare Diabetes Prevention Program (MDPP) Expanded Model,10/15/2018,,National DPP Customer Service Center,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,747
Medicare Diabetes Prevention Program (MDPP) Expanded Model,10/25/2018,,Crosswalk guidance webinar scheduled for October 31,https://innovation.cms.gov/resources/mdpp-crosswalk.html,748
Medicare Diabetes Prevention Program (MDPP) Expanded Model,10/31/2018,,How to verify Medicare beneficiary coverage document posted,https://innovation.cms.gov/initiatives/medicare-diabetes-prevention-program/,749
International Pricing Index (IPI) Model,10/25/2018,,Potential international pricing index model for Medicare Part B drugs,https://innovation.cms.gov/initiatives/ipi-model/,750
Home Health Value-Based Purchasing Model,10/31/2017,,CY 2018 Home Health Prospective Payment System Final Rule,https://innovation.cms.gov/initiatives/home-health-value-based-purchasing-model,751
Home Health Value-Based Purchasing Model,10/31/2018,,CY 2019 Home Health Prospective Payment System Final Rule posted,https://innovation.cms.gov/initiatives/home-health-value-based-purchasing-model,752
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,11/9/2018,,Final evaluation report and Findings At-A-Glance Report posted,https://innovation.cms.gov/initiatives/Strong-Start-Strategy-2/,753
 ,11/9/2018,,State-Based Initiatives Systematic Review of Lessons Learned report posted,https://innovation.cms.gov/Files/reports/statebasedinitiatives-lessonslearned.pdf,754
Comprehensive Care for Joint Replacement Model,11/16/2018,,Quality Measures Performance Percentiles document posted,https://innovation.cms.gov/initiatives/cjr,755
BPCI Advanced,11/16/2018,,Participation agreement posted,https://innovation.cms.gov/initiatives/bpci-advanced/,756
Artificial Intelligence (AI) Health Outcomes Challenge,11/16/2018,,"Proposed, cross-industry challenge competition to innovate how artificial intelligence (AI) can be implemented in current and future health care models",https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,757
Financial Alignment Initiative for Medicare-Medicaid Enrollees,11/16/2018,,Washington final year 2 and preliminary year 3 savings report posted,https://innovation.cms.gov/initiatives/Financial-Alignment/,758
Integrated Care for Kids (InCK) Model,11/19/2018,,Frequently asked questions document posted,https://innovation.cms.gov/initiatives/integrated-care-for-kids-model/,759
Medicare Diabetes Prevention Program (MDPP) Expanded Model,11/19/2018,,"January 9, 2019 enrollment tutorial webinar",https://innovation.cms.gov/resources/mdpp-enrollmenttutorial.html,760
Independence at Home Demonstration,11/20/2018,,Report to Congress evaluation report posted,https://innovation.cms.gov/initiatives/Independence-at-Home/,761
Financial Alignment Initiative for Medicare-Medicaid Enrollees,11/29/2018,,"Evaluation reports for California, Illinois, Ohio, Minnesota and Washington posted",https://innovation.cms.gov/initiatives/Financial-Alignment/,762
Comprehensive Primary Care Plus,11/30/2018,,Payment year 2019 health IT requirements and electronic quality measure reporting overview documents posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,763
Integrated Care for Kids (InCK) Model,11/30/2018,,"Live Question & Answer (Q&A) webinar scheduled for Thursday, December 13",https://innovation.cms.gov/resources/inck-liveqa.html,764
Part D Enhanced Medication Therapy Management Model,11/30/2018,,First year results fact sheet posted,https://innovation.cms.gov/initiatives/enhancedmtm/,766
Comprehensive Care for Joint Replacement Model,11/30/2018,,Target prices and reconciliation payments materials posted,https://innovation.cms.gov/initiatives/cjr,767
Comprehensive ESRD Care Model,12/3/2018,,2019 Quality Set and Weights document posted,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,768
Maternal Opioid Misuse (MOM) Model,12/11/2018,,MOM Model and InCK Model overlap fact sheet posted,https://innovation.cms.gov/initiatives/maternal-opioid-misuse-model/,769
Integrated Care for Kids (InCK) Model,12/11/2018,,InCK Model and MOM Model overlap fact sheet posted,https://innovation.cms.gov/initiatives/integrated-care-for-kids-model/,770
Next Generation ACO Model,12/21/2018,,2017 Performance Year 2 financial and quality results posted,https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,771
Oncology Care Model,12/21/2018,,"Second annual evaluation report for performance period one, appendix and Findings At-A-Glance report posted",https://innovation.cms.gov/initiatives/Oncology-Care/,772
Independence at Home Demonstration,1/3/2019,,Revised fact sheet posted,https://innovation.cms.gov/initiatives/Independence-at-Home/,773
Physician-Focused Payment Models (PFPMs): Secretary's Response to Proposals,1/4/2019,,Value considerations for model development and testing fact sheet posted,https://innovation.cms.gov/initiatives/pfpms/,774
Maternal Opioid Misuse (MOM) Model,1/15/2019,,Overview webinar materials and FAQ document posted,https://innovation.cms.gov/resources/mom-model-overview.html,775
Medicare Advantage Value-Based Insurance Design Model,1/18/2019,,Next generation model aims to improve coordination and efficiency of care delivery through flexible health plan innovation,https://innovation.cms.gov/initiatives/vbid/,776
Part D Payment Modernization Model,1/18/2019,,Voluntary model to test prescription drug plan design improvements and incentives,https://innovation.cms.gov/initiatives/part-d-payment-modernization-model/,777
Medicare Advantage Value-Based Insurance Design Model,1/18/2019,,First year evaluation report posted,https://innovation.cms.gov/initiatives/vbid/,778
Medicare Advantage Value-Based Insurance Design Model,1/24/2019,,"CY2020 Application Cycle webinar Friday, January 25",https://innovation.cms.gov/resources/vbid-cy2020-app-cycle.html,779
Part D Payment Modernization Model,1/29/2019,,"Thursday, January 31, 2019 Part D Modernization Model Overview webinar",https://innovation.cms.gov/resources/part-dpaymentmodernizationmodel-rfa-overview.html,780
Medicare Advantage Value-Based Insurance Design Model,2/1/2019,,Request for Applications (RFA) and actuarial guidance documents posted,https://innovation.cms.gov/initiatives/vbid/,781
BPCI Advanced,2/1/2019,,Claims Files Layout document posted,https://innovation.cms.gov/initiatives/bpci-advanced/,782
Medicare Advantage Value-Based Insurance Design Model,2/1/2019,,CY2020 Design Application Cycle Overview webinar slides posted,https://innovation.cms.gov/resources/vbid-cy2020-app-cycle.html,783
Medicare Advantage Value-Based Insurance Design Model,2/7/2019,,Year One evaluation findings webinar scheduled for February 14,https://innovation.cms.gov/resources/vbid-yrone-findings.html,784
BPCI Advanced,2/8/2019,,Quality Measures fact sheets posted,https://innovation.cms.gov/initiatives/bpci-advanced/,785
Integrated Care for Kids (InCK) Model,2/8/2019,,"Notice of Funding Opportunity and associated webinar for February 19, 2019",https://innovation.cms.gov/initiatives/integrated-care-for-kids-model/,786
Artificial Intelligence (AI) Health Outcomes Challenge,3/27/2019,,"Multi-stage, year-long challenge competition with $1.65 million in total prize money available to harness artificial intelligence through predictable outcome solutions",https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,787
Maternal Opioid Misuse (MOM) Model,3/29/2019,,April 4 Notice of Funding Opportunity Application Repeat webinar,https://innovation.cms.gov/resources/mom-notice-of-funding-opportunity-application-repeat.html,788
Medicare Advantage Value-Based Insurance Design Model,4/3/2019,,Hospice intervention webinar scheduled for April 9 announced,https://innovation.cms.gov/resources/vbid-hospice-intervention.html,789
"Emergency Triage, Treat, and Transport (ET3) Model",2/22/2019,,"Overview webinar scheduled for February 27, 2019",https://innovation.cms.gov/resources/et3-overview.html,790
Medicare Advantage Value-Based Insurance Design Model,2/26/2019,,Medicare Advantage Value-Based Insurance Design Model and Part D Payment Modernization Model 2/28 Deep Dive webinar,https://innovation.cms.gov/resources/vbid-partd-deepdive.html,791
Part D Payment Modernization Model,2/26/2019,,Part D Payment Modernization Model and Medicare Advantage Value-Based Insurance Design Model 2/28 Deep Dive webinar,https://innovation.cms.gov/resources/vbid-partd-deepdive.html,792
Million Hearts: Cardiovascular Disease Risk Reduction Model,3/1/2019,,First annual evaluation report and findings-at-a-glance report posted,https://innovation.cms.gov/initiatives/Million-Hearts-CVDRRM/,793
Medicare Advantage Value-Based Insurance Design Model,3/5/2019,,Slides from February 28 Deep Drive webinar posted,https://innovation.cms.gov/initiatives/vbid/,794
Part D Payment Modernization Model,3/5/2019,,Slides from February 28 Deep Drive webinar posted,https://innovation.cms.gov/initiatives/part-d-payment-modernization-model/,795
"Emergency Triage, Treat, and Transport (ET3) Model",3/12/2019,,Materials from February 27 and March 7 overview webinars posted,https://innovation.cms.gov/resources/et3-overview.html,796
Maternal Opioid Misuse (MOM) Model,3/14/2019,,Materials from February 21 notice of funding opportunity and application review webinar posted,https://innovation.cms.gov/resources/mom-model-nofo-application-review.html,797
State Innovation Models Initiative: Model Test Awards Round Two,3/20/2019,,Third Annual Report posted,https://innovation.cms.gov/initiatives/State-Innovations-Model-Testing-Round-Two/,798
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents: Phase Two,3/20/2019,,Second annual report posted,https://innovation.cms.gov/initiatives/rahnfr-phase-two/,799
State Innovation Models Initiative: Model Test Awards Round One,4/8/2019,,Fifth annual report posted,https://innovation.cms.gov/initiatives/State-Innovations-Model-Testing/,800
Artificial Intelligence (AI) Health Outcomes Challenge,4/10/2019,,Informational overview webinar April 18,https://innovation.cms.gov/resources/ai-health-outcomes-challenge-overview.html,801
Integrated Care for Kids (InCK) Model,4/11/2019,,"Notice of Funding Opportunity Application webinar Thursday, April 18",https://innovation.cms.gov/resources/inck-notice-of-funding-opportunity-application.html,802
Primary Care First Model Options,4/22/2019,,Voluntary payment model options that reward value and quality through innovative payment structures while emphasizing the doctor-patient relationship supporting advanced primary care.,https://innovation.cms.gov/initiatives/primary-care-first-model-options/,803
Direct Contracting Model Options,4/22/2019,,Voluntary payment model options that innovate Medicare fee-for-service approaches to produce value and high-quality care outcomes.,https://innovation.cms.gov/initiatives/direct-contracting-model-options/,804
Comprehensive Primary Care Plus,4/22/2019,,First annual report posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,805
BPCI Advanced,4/24/2019,,Model year three (CY2020) request for applications posted,https://innovation.cms.gov/initiatives/bpci-advanced/,806
Direct Contracting Model Options,4/25/2019,,Overview webinar series,https://innovation.cms.gov/resources/dc-model-options-overview-webinar-series.html,807
CMS Innovation Center - Fourth Report to Congress,4/26/2019,,2018 CMS Innovation Center Report to Congress posted,https://innovation.cms.gov/Files/reports/rtc-2018.pdf,808
Maternal Opioid Misuse (MOM) Model,4/30/2019,,Notice of Funding Opportunity frequently asked questions document posted,https://innovation.cms.gov/initiatives/maternal-opioid-misuse-model/,809
Integrated Care for Kids (InCK) Model,4/30/2019,,Materials from April 18 Notice of Funding Opportunity Application webinar posted,https://innovation.cms.gov/resources/inck-notice-of-funding-opportunity-application.html,810
Integrated Care for Kids (InCK) Model,5/3/2019,,May 15 notice of funding opportunity question and answer webinar,https://innovation.cms.gov/resources/inck-nofo-qa.html,812
Medicare Advantage Value-Based Insurance Design Model,5/7/2019,,Slides from April 9 hospice intervention webinar posted,https://innovation.cms.gov/resources/vbid-hospice-intervention.html,813
Direct Contracting Model Options,5/10/2019,,Professional and Global Population-based Payment options Letters of Intent posted,https://innovation.cms.gov/initiatives/direct-contracting-model-options/,814
Maryland Total Cost of Care Model,5/10/2019,,Performance year 2020 Request for Applications (RFA) posted,https://innovation.cms.gov/initiatives/md-tccm/,815
Comprehensive Primary Care Plus,5/14/2019,,2018 Year In Review document posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,816
Next Generation ACO Model,5/14/2019,,"New and updated benchmark methodology, beneficiary and waiver information documents posted",https://innovation.cms.gov/initiatives/Next-Generation-ACO-Model/,817
Integrated Care for Kids (InCK) Model,5/15/2019,,Frequently Asked Questions document posted,https://innovation.cms.gov/initiatives/integrated-care-for-kids-model/,818
Direct Contracting Model Options,5/22/2019,,Extension for Geographic Population-based Payment Option Request for Information submission,https://innovation.cms.gov/initiatives/direct-contracting-model-options/,819
"Emergency Triage, Treat, and Transport (ET3) Model",5/22/2019,,Request for Applications (RFA) preview and frequently asked questions (FAQs) posted,https://innovation.cms.gov/initiatives/et3/,820
Primary Care First Model Options,5/23/2019,,Information webinar series slides posted,https://innovation.cms.gov/resources/pcf-model-informational-webinar-series.html,821
Independence at Home Demonstration,5/23/2019,,"Year four evaluation reports, financial and quality results posted",https://innovation.cms.gov/initiatives/Independence-at-Home/,822
Financial Alignment Initiative for Medicare-Medicaid Enrollees,5/24/2019,,"Multiple reports from participating states Colorado, Massachusetts and Texas posted",https://innovation.cms.gov/initiatives/Financial-Alignment/,823
"Emergency Triage, Treat, and Transport (ET3) Model",6/3/2019,,"Request for Applications (RFA) overview webinar June 11, 2019",https://innovation.cms.gov/initiatives/et3/,824
Medicare Prior Authorization Model for Non-Emergent Hyperbaric Oxygen (HBO),6/4/2019,,"Final evaluation, appendices and findings-at-a glance reports posted",https://innovation.cms.gov/Data-and-Reports/,825
Comprehensive ESRD Care Initiative,9/4/2019,,Performance year 2 annual report and associated materials posted,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,826
ACO Investment Model,9/9/2019,,Second annual report and associated materials posted,https://innovation.cms.gov/initiatives/ACO-Investment-Model/,827
Maryland Total Cost of Care Model,9/20/2019,,Maryland Primary Care Program solicitation for payer participation and memorandum of understanding documents posted,https://innovation.cms.gov/initiatives/md-tccm/,829
Comprehensive ESRD Care Model,9/24/2019,,Financial and quality performance results for performance year 2 posted,https://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,830
Financial Alignment Initiative for Medicare-Medicaid Enrollees,9/24/2019,,"Multiple evaluation and savings reports from participating states Michigan, New York, South Carolina and Washington posted",https://innovation.cms.gov/initiatives/Financial-Alignment/,831
Comprehensive Primary Care Plus,9/25/2019,,2018 quality and utilization performance results posted,https://innovation.cms.gov/initiatives/comprehensive-primary-care-plus/,832
Part D Enhanced Medication Therapy Management Model,10/8/2019,,Second year results fact sheet posted,https://innovation.cms.gov/initiatives/enhancedmtm/,833
 ,10/11/2019,,"Public listening session November 4, 2019 for potential future oncology care model",https://innovation.cms.gov/resources/oncology-listening-session.html,834
Accountable Health Communities Model,10/15/2019,,Using data for quality improvement case study posted,https://innovation.cms.gov/initiatives/ahcm/,835
Primary Care First Model Options,10/24/2019,,"Online application portal live through January 22, 2020",https://app1.innovation.cms.gov/PCF,836
Kidney Care Choices (KCC) Model,10/24/2019,,Request for application (RFA) posted,https://innovation.cms.gov/initiatives/kidney-care-choices-kcc-model/,837
Independence at Home Demonstration,10/25/2019,,Year five results fact sheet posted,https://innovation.cms.gov/initiatives/Independence-at-Home/,838
Primary Care First Model Options,10/29/2019,,Payer Statement of Interest Form posted,https://innovation.cms.gov/initiatives/primary-care-first-model-options/,839
Artificial Intelligence (AI) Health Outcomes Challenge,10/31/2019,,Top 25 participants selected to advance to Stage 1,https://innovation.cms.gov/initiatives/artificial-intelligence-health-outcomes-challenge/,841
Public Listening Session: Potential Future Oncology Payment Model,11/1/2019,,Informal request for information posted in preperation for November 4 public listening session,https://innovation.cms.gov/resources/oncology-listening-session.html,842
Medicare Intravenous Immune Globulin (IVIG) Demonstration,9/28/2017,,"Congress extends the Medicare IVIG demonstration through December 31, 2020",https://innovation.cms.gov/initiatives/IVIG/,843
Kidney Care Choices (KCC) Model,11/6/2019,,Series of three webinars between November 12-22,https://innovation.cms.gov/initiatives/kidney-care-choices-kcc-model/,844
